"Sample_ID","Site_ID","Site_Name","Latitude","Longitude","Elevation","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID","Bout","Dex","Species","Good","d18O.oc","BaseShift","SlopeShift","Residuals","BaseCurve","CH4","Instrument"
"20-196_CPER1-A-2","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Bouteloua gracilis",-73.2887945375,-1.9817450636,NA,0.0554074963309778,0.0302472290059278,NA,"SPATIAL",384,"CPER1",-57.4348340287,"Bouteloua gracilis",TRUE,-2.71998713432647,383.75125,-13.7561,0.00979999999999981,-7.73155,-0.4408,"HIDS2046"
"20-196_CPER1-A-3","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Bouteloua gracilis",-54.6549195997,3.305887197,NA,0.109110289417906,0.028040530910935,NA,"SPATIAL",384,"CPER1",-81.1020171757,"Bouteloua gracilis",TRUE,2.56764512627353,-0.209750000000014,-0.834350000000001,-0.00285000000000002,0.297200000000004,0.0750000000000002,"HIDS2046"
"20-196_CPER1-A-4","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Bouteloua gracilis",-63.4910428596,0.5628872481,NA,0.329140786201866,0.0465615010608634,NA,"SPATIAL",384,"CPER1",-67.9941408444,"Bouteloua gracilis",TRUE,-0.17535482262647,0.924750000000003,-1.2131,-0.0349500000000003,-1.20829999999999,-0.08155,"HIDS2046"
"20-196_CPER1-B-2","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Hesperostipa comata",-68.2090285846,0.7104347769,NA,0.10032663209256,0.0327806510024428,NA,"SPATIAL",384,"CPER1",-73.8925067998,"Hesperostipa comata",TRUE,-0.0278072938264704,8.03675,-1.63985,-0.0367000000000002,-1.3403,-0.1208,"HIDS2046"
"20-196_CPER1-B-3","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Hesperostipa comata",-55.3207562946,3.5698146427,NA,0.0439139600532909,0.0345372857586449,NA,"SPATIAL",384,"CPER1",-83.8792734362,"Hesperostipa comata",TRUE,2.83157257197353,7.45925,-1.20085,-0.0141,-0.714550000000003,-0.0249999999999999,"HIDS2046"
"20-196_CPER1-B-4","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Hesperostipa comata",-65.07697667,1.3634499129,NA,0.0658610794189421,0.030961888203202,NA,"SPATIAL",384,"CPER1",-75.9845759732,"Hesperostipa comata",TRUE,0.62520784217353,0.784000000000006,0.236900000000002,0.0387999999999997,1.35445,-0.05905,"HIDS2046"
"20-196_CPER1-B-5","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Hesperostipa comata",-63.7086470343,1.4752533308,NA,0.204974182350273,0.0344911903509111,NA,"SPATIAL",384,"CPER1",-75.5106736807,"Hesperostipa comata",TRUE,0.73701126007353,4.6675,-0.263599999999997,0.00579999999999981,-0.270049999999998,-0.0738000000000003,"HIDS2046"
"20-196_CPER1-C-1","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Eriogonum effusum",-57.5822697914,6.7703712,NA,0.105633122953893,0.0479100168392883,NA,"SPATIAL",384,"CPER1",-111.7452393914,"Eriogonum effusum",TRUE,6.03212912927353,0.84975,0.126899999999999,0.0554000000000001,1.16895,-0.0157499999999997,"HIDS2046"
"20-196_CPER1-C-2","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Eriogonum effusum",-84.3574308879,-6.702587114,NA,0.278218677574489,0.0730127052514305,NA,"SPATIAL",384,"CPER1",-30.7367339759,"Eriogonum effusum",TRUE,-7.44082918472647,165.4474,-7.5507,0.00134999999999996,0.514949999999999,-0.6236,"HIDS2052"
"20-196_CPER1-C-3","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Stem","",NA,"2020-08-14 00:00:00",6,NA,NA,"Eriogonum effusum",-82.1441269697,-4.8470149814,NA,0.207503182624862,0.0618313196021843,NA,"SPATIAL",384,"CPER1",-43.3680071185,"Eriogonum effusum",TRUE,-5.58525705212647,30.9165,-0.889849999999999,0.0472999999999999,-0.383799999999994,-0.3453,"HIDS2046"
